[info] using task orders [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
[Warning]: datasets path /opt/LIBERO/libero/libero/../datasets does not exist!
[info] using task orders [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
/opt/conda/envs/roble/lib/python3.10/site-packages/wandb/sdk/lib/import_hooks.py:246: DeprecationWarning: Deprecated since Python 3.4 and slated for removal in Python 3.12; use importlib.util.find_spec() instead
  loader = importlib.find_loader(fullname, path)
[152064/200000] return=-272.693 policy_loss=0.1485
[153088/200000] return=-303.617 policy_loss=-0.0251
[154112/200000] return=-318.542 policy_loss=-0.1133
[155136/200000] return=-329.765 policy_loss=0.0434
[156160/200000] return=-327.026 policy_loss=0.2342
[157184/200000] return=-336.507 policy_loss=-0.0425
[158208/200000] return=-320.242 policy_loss=-0.0244
[159232/200000] return=-298.326 policy_loss=0.7508
[160000/200000] return=-273.961 policy_loss=-0.0017
[161024/200000] return=-258.098 policy_loss=0.6775
[162048/200000] return=-263.791 policy_loss=0.0299
[163072/200000] return=-268.609 policy_loss=0.6293
[164096/200000] return=-265.166 policy_loss=-0.0480
[165120/200000] return=-251.817 policy_loss=-0.0275
[166144/200000] return=-261.466 policy_loss=1.8355
[167168/200000] return=-260.984 policy_loss=0.2485
[168192/200000] return=-256.918 policy_loss=0.0161
[169216/200000] return=-248.356 policy_loss=-0.0092
[170240/200000] return=-259.384 policy_loss=-0.0398
[171008/200000] return=-248.398 policy_loss=0.1605
[172032/200000] return=-253.606 policy_loss=-0.0196
[173056/200000] return=-263.632 policy_loss=-0.0570
[174080/200000] return=-244.706 policy_loss=-0.0201
[175104/200000] return=-239.729 policy_loss=-0.0063
[176128/200000] return=-238.970 policy_loss=-0.0781
[177152/200000] return=-272.556 policy_loss=0.1771
