[info] using task orders [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
[Warning]: datasets path /opt/LIBERO/libero/libero/../datasets does not exist!
[info] using task orders [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]
/opt/conda/envs/roble/lib/python3.10/site-packages/wandb/sdk/lib/import_hooks.py:246: DeprecationWarning: Deprecated since Python 3.4 and slated for removal in Python 3.12; use importlib.util.find_spec() instead
  loader = importlib.find_loader(fullname, path)
[161024/200000] return=-281.913 policy_loss=-0.0396
[162048/200000] return=-269.994 policy_loss=-0.0825
[163072/200000] return=-238.087 policy_loss=-0.0922
[164096/200000] return=-236.779 policy_loss=-0.0100
[165120/200000] return=-250.200 policy_loss=-0.1162
[166144/200000] return=-245.559 policy_loss=-0.0825
[167168/200000] return=-271.654 policy_loss=-0.0859
[168192/200000] return=-245.275 policy_loss=-0.0701
[169216/200000] return=-213.418 policy_loss=-0.0869
[170240/200000] return=-296.777 policy_loss=-0.0645
[171008/200000] return=-355.285 policy_loss=-0.0802
[172032/200000] return=-366.339 policy_loss=-0.0751
[173056/200000] return=-358.351 policy_loss=-0.0655
[174080/200000] return=-307.334 policy_loss=-0.0774
[175104/200000] return=-336.415 policy_loss=-0.0723
[176128/200000] return=-281.606 policy_loss=-0.0438
[177152/200000] return=-280.060 policy_loss=-0.1395
[178176/200000] return=-279.849 policy_loss=-0.0587
[179200/200000] return=-266.527 policy_loss=-0.0231
[180224/200000] return=-277.776 policy_loss=0.0467
[181248/200000] return=-238.828 policy_loss=-0.0815
[182016/200000] return=-235.371 policy_loss=-0.0827
[183040/200000] return=-221.895 policy_loss=-0.0854
[184064/200000] return=-218.276 policy_loss=-0.0847
[185088/200000] return=-229.176 policy_loss=-0.0380
[186112/200000] return=-248.784 policy_loss=-0.1427
[187136/200000] return=-255.905 policy_loss=-0.0435
[188160/200000] return=-257.542 policy_loss=-0.0720
[189184/200000] return=-238.092 policy_loss=-0.0952
[190208/200000] return=-274.363 policy_loss=-0.0879
[191232/200000] return=-384.287 policy_loss=-0.1477
[192000/200000] return=-381.167 policy_loss=-0.0676
[193024/200000] return=-341.068 policy_loss=-0.0685
[194048/200000] return=-289.664 policy_loss=-0.0442
[195072/200000] return=-255.127 policy_loss=0.0031
[196096/200000] return=-253.579 policy_loss=-0.0501
[197120/200000] return=-248.328 policy_loss=-0.1089
[198144/200000] return=-271.487 policy_loss=-0.0397
[199168/200000] return=-265.462 policy_loss=-0.0691
[200192/200000] return=-263.219 policy_loss=-0.0594
